user_id,business_id,stars
HRNysSGlkeq-Fjud0k0Y4Q,k9RUMKASTB6QZ-NkfnN8Fg,3.0
omYjiX9WyiBhyjX-0EEKUQ,0InA3Ffj8MxyQV9hgsyYcQ,4.0
tbEeWhU5HG3ujzKWZBNzQg,sNVGdeOPeitJ3OWUQBINzQ,3.0
IduEiOzDSIMlAGnOMPfSvw,OktwRjOI1nCaq5_AJMWWDQ,5.0
-HcirMcpUDd3GvexCOCCzg,mPeD3z6k0JLNZIM9ow9hrg,5.0
mYcRL0cJtHeXRBup5wwppQ,Gdv3qhsDeQzZ2Ag-Tzq6vA,4.0
m-BZLIIh5PCAKnzH0qj_0Q,-hsFN8VQvH26M0WZ3k1Wtg,5.0
FSyrMp4pGdBd456MkCO8WQ,RGq0qjn2ifmnRWTJ8bfOPw,4.0
wXZS42D0L8hoCiSh2Krc_A,cYwJA2A6I12KNkm2rtXd5g,5.0
CrEBVkzIQs7tS-wWfaCjNQ,7pkiQvVfcsa-wtBEeNHHUg,5.0
EjivzO1K8IJP8qCkX9U3qA,0LU8TLoYmMf6_ujYMPFGJg,3.0
wwPSdOrW0jVNgzr8whD0Jw,_K63HbZBVQSBCvQicQdl-A,5.0
d5WLqmTMvmL7-RmUDVKqqQ,xkdgCrkgfbI80Htst6-Lbw,3.0
JnPIjvC0cmooNDfsa9BmXg,_eJ2ETotJBzZBQS15fD-8A,1.0
5YXcnjNQ1PsJK0GznDBH9Q,W3K_5U2KEw0gxK7cvuB2mw,5.0
NZPoW7bv_62nAJ-yXpVl1g,L3R7y3_tUKQlM9kor4-Ccw,2.0
VSRtEK_c84oJygZ0OX0Oqg,f9sU31meK0bqAD7922sCog,5.0
RD-f1At-TwojTfXFuyN5ag,flCF_Vp9NOpTVeGv673nSg,2.0
b7rchNJEp6Gaw0bHR-4s4g,8eSmXnZG0N1GRsqiFeU9uA,4.0
11gxVnIOvxL5PI4Ur9qa2g,UMqfeCItzQ2glr4d9apGlA,2.0
wbvjiDpw0FoZDeqbzAIcDQ,qWSwDbtJRBvKTiMpH3rNLQ,4.0
XE36pmSiByd4YtSiPkn9_A,ER0rUoLqAJQ2Mlv2_GnwyQ,4.0
-srZqmR83vjSfR6PSUyVUA,ii8sAGBexBOJoYRFafF9XQ,4.0
E5Fbnoe5f5a74A5auXjiBg,f9sU31meK0bqAD7922sCog,4.0
8Sx-NgLzyCBBWT-IKBt9Fw,kRhjWeAPs-U5RmakIKz0Pg,3.0
atXRV9crRDO2VzP6XOquJg,OK_djnmJWmK4G3NMAjGGjg,3.0
fLnkI1uHtXEsjtF6KoBHbQ,xoGPeHR2RPnJW470-aYBUQ,4.0
1dwa6Wkp0chKBcrRuO05lA,ByFMv3p5X1aNeZhU61rDcA,4.0
bCLqNCdhUdsmTj9Braespg,ttuEwktrkmh3TUlSFPZqAA,4.0
2pVj1Hid6_Iq3Th9xI0aOQ,wT1mRdUeZRNgMB81s3dJDw,4.0
DIdq2t1_ra6g5JcexYHuOQ,YavRvjbLsvh4DYDJPAfJIA,1.0
XdLQep9R3V7EHwW2fjgK-g,CZhc8YXdFLhAI4ViC2ERTg,4.0
aUlnMALjy4sXJP1KxjuX1g,4XH5nRjUVKyRNituBAwW6A,3.0
4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,5.0
